"kda";"posicion"
12;"adc"
11;"adc"
7;"adc"
5;"adc"
6;"adc"
11;"adc"
10;"adc"
9;"adc"
8;"adc"
5,5;"adc"
7;"adc"
4,5;"adc"
13;"adc"
2,8;"adc"
10;"adc"
13;"adc"
19;"adc"
13;"adc"
7;"adc"
6,66666666666667;"adc"
11;"adc"
12;"adc"
7;"adc"
6;"adc"
2,66666666666667;"adc"
13;"adc"
7;"adc"
12;"adc"
5;"adc"
3,5;"adc"
3,25;"adc"
6;"adc"
13;"adc"
8;"adc"
7;"adc"
4,5;"adc"
7;"adc"
3,5;"adc"
3,25;"sup"
13;"sup"
4,5;"sup"
13;"sup"
4,5;"sup"
6,5;"sup"
3,66666666666667;"sup"
12;"sup"
12;"sup"
9;"sup"
12;"sup"
11;"sup"
16;"sup"
12;"sup"
20;"sup"
20;"sup"
10;"sup"
11;"sup"
11;"sup"
6;"sup"
1;"sup"
22;"sup"
2;"sup"
2,25;"sup"
2,66666666666667;"sup"
1,75;"sup"
8;"sup"
19;"sup"
6;"sup"
3,5;"sup"
4;"sup"
19;"sup"
8;"sup"
0,6;"sup"
6,5;"sup"
7,5;"sup"
6;"sup"
10;"sup"
5,5;"sup"
1,71428571428571;"sup"
17;"sup"
14;"sup"
2,5;"sup"
4,33333333333333;"sup"
2,4;"sup"
6;"sup"
11;"sup"
12;"sup"
5,5;"sup"
6;"sup"
3;"sup"
4,5;"sup"
9;"sup"
5,66666666666667;"sup"
2,5;"sup"
2,2;"sup"
4,66666666666667;"sup"
13;"sup"
11;"sup"
5,5;"sup"
13;"sup"
7;"sup"
1,33333333333333;"sup"
4;"sup"
6;"sup"
2,33333333333333;"sup"
4,25;"sup"
13;"sup"
12;"sup"
14;"sup"
3;"sup"
3,5;"sup"
12;"sup"
6;"sup"
6,5;"sup"
10;"sup"
8,5;"sup"
8,5;"sup"
13;"sup"
2;"sup"
14;"sup"
15;"sup"
8;"sup"
3,5;"sup"
14;"sup"
13;"sup"
10;"sup"
11;"sup"
5,5;"sup"
7;"sup"
3;"sup"
20;"sup"
8;"sup"
8;"sup"
7;"sup"
11;"sup"
7;"sup"
4,5;"sup"
10;"sup"
8;"sup"
2,83333333333333;"sup"
11;"sup"
13;"sup"
2,75;"sup"
5,5;"sup"
2,33333333333333;"sup"
8;"sup"
13;"sup"
3,5;"sup"
9;"sup"
17;"sup"
5,5;"sup"
6,33333333333333;"sup"
2,75;"sup"
8;"sup"
2,75;"sup"
7,5;"sup"
5;"sup"
19;"sup"
4,66666666666667;"sup"
2;"sup"
2,25;"sup"
9;"sup"
4;"sup"
15;"sup"
11;"sup"
10;"sup"
3;"sup"
8;"sup"
12;"sup"
7;"sup"
1;"sup"
9;"sup"
9;"sup"
12;"sup"
6;"sup"
20;"sup"
5;"sup"
3;"sup"
6,5;"sup"
9;"sup"
8;"sup"
15;"sup"
5;"sup"
5,33333333333333;"sup"
4,5;"sup"
14;"sup"
9;"sup"
4,5;"sup"
10;"sup"
9;"sup"
19;"sup"
8;"sup"
2,5;"sup"
7;"sup"
11;"sup"
7;"sup"
3;"sup"
9;"sup"
12;"sup"
3,8;"sup"
15;"sup"
8;"sup"
10;"sup"
14;"sup"
8;"sup"
16;"sup"
15;"sup"
2,33333333333333;"sup"
1,83333333333333;"sup"
2;"sup"
4,33333333333333;"sup"
11;"sup"
2;"sup"
3,66666666666667;"sup"
12;"sup"
6;"sup"
4,5;"sup"
8;"sup"
6;"sup"
12;"sup"
2,4;"sup"
5;"sup"
6;"sup"
12;"sup"
9;"sup"
6;"sup"
6,5;"sup"
4;"sup"
3;"sup"
1,33333333333333;"sup"
15;"sup"
9;"sup"
9;"sup"
3,25;"sup"
17;"sup"
5,5;"sup"
8;"sup"
7,5;"sup"
6;"sup"
9;"sup"
3,33333333333333;"sup"
12;"sup"
5;"sup"
6;"sup"
7;"sup"
10;"sup"
4,66666666666667;"sup"
12;"sup"
5;"sup"
10;"sup"
11;"sup"
5;"sup"
10;"sup"
7;"sup"
8;"sup"
4;"sup"
13;"sup"
13;"sup"
9;"sup"
10;"sup"
5;"sup"
8;"sup"
10;"sup"
15;"sup"
6;"sup"
1,16666666666667;"sup"
3;"sup"
3,33333333333333;"sup"
21;"sup"
7;"sup"
15;"sup"
6;"sup"
5,5;"sup"
6;"sup"
9;"sup"
8,5;"sup"
11;"sup"
15;"sup"
3,33333333333333;"sup"
9;"sup"
11;"sup"
9;"sup"
10;"sup"
15;"sup"
3,25;"sup"
3,66666666666667;"sup"
9;"sup"
6;"sup"
16;"sup"
9;"sup"
15;"sup"
16;"sup"
9;"sup"
13;"sup"
7,33333333333333;"sup"
5,5;"sup"
4;"sup"
7;"sup"
11;"sup"
4;"sup"
12;"sup"
2,25;"sup"
5;"sup"
4,66666666666667;"sup"
15;"sup"
2;"sup"
4;"sup"
11;"sup"
17;"sup"
5;"sup"
2,5;"sup"
11;"sup"
3;"sup"
16;"sup"
5;"sup"
3,5;"sup"
7;"sup"
1;"sup"
11;"sup"
13;"sup"
12;"sup"
5;"sup"
1,4;"sup"
12;"sup"
4,5;"sup"
6;"sup"
11;"sup"
6;"sup"
11;"sup"
10;"sup"
9;"sup"
12;"sup"
7;"sup"
9;"sup"
8;"sup"
4;"sup"
7,5;"sup"
13;"sup"
8,5;"sup"
16;"sup"
11;"sup"
3,75;"sup"
12;"sup"
13;"sup"
7;"sup"
4;"sup"
13;"sup"
7,5;"sup"
1,75;"sup"
3;"sup"
11;"sup"
4;"sup"
3,5;"sup"
6;"sup"
3,5;"sup"
10;"sup"
5;"sup"
10;"sup"
2,66666666666667;"sup"
3;"sup"
2,66666666666667;"top"
8;"top"
2,8;"top"
3;"top"
5;"top"
6;"top"
21;"top"
5,33333333333333;"top"
3;"top"
14;"top"
7,5;"top"
16;"top"
16;"top"
7;"top"
11;"top"
14;"top"
4,33333333333333;"top"
10;"top"
9;"top"
10;"top"
16;"top"
5,5;"top"
12;"top"
11;"top"
5,66666666666667;"top"
3,33333333333333;"top"
5;"top"
4;"top"
1;"top"
6,5;"top"
10;"top"
3;"top"
4,5;"top"
6;"top"
3;"top"
1,6;"top"
4;"top"
10;"top"
13;"top"
2,25;"top"
3;"top"
6;"top"
6,5;"top"
11;"top"
16;"top"
6;"top"
11;"top"
6,5;"top"
6;"top"
4;"top"
4,66666666666667;"top"
11;"top"
6;"top"
8;"top"
10;"top"
5,5;"top"
4;"top"
14;"top"
15;"top"
1,66666666666667;"top"
11;"top"
3,33333333333333;"top"
0,333333333333333;"top"
6;"top"
4;"top"
9;"top"
4;"top"
10;"top"
2,2;"top"
3,66666666666667;"top"
8;"top"
2;"top"
8;"top"
3;"top"
6,5;"top"
3,5;"top"
2,66666666666667;"top"
9;"top"
15;"top"
8,5;"top"
4;"top"
5;"top"
4,33333333333333;"top"
16;"top"
8;"top"
6;"top"
5;"top"
7;"top"
14;"top"
12;"top"
3,4;"top"
13;"top"
9;"top"
3,33333333333333;"top"
3;"top"
14;"top"
6;"top"
10;"top"
5;"top"
15;"top"
4;"top"
5;"top"
13;"top"
12;"top"
8;"top"
7;"top"
6,5;"top"
3;"top"
2,5;"top"
8;"top"
4;"top"
9;"top"
5;"top"
11;"top"
20;"top"
13;"top"
4;"top"
7;"top"
16;"top"
1,16666666666667;"top"
5;"top"
11;"top"
16;"top"
3,33333333333333;"top"
5;"top"
6;"top"
2,5;"top"
14;"top"
2,66666666666667;"top"
0,5;"top"
14;"top"
7;"top"
9,33333333333333;"top"
10;"top"
6;"top"
6;"top"
6;"top"
8;"top"
11;"top"
12;"top"
10;"top"
8;"top"
7;"top"
4;"top"
4;"top"
5;"top"
2,5;"top"
7,5;"top"
3,33333333333333;"top"
3;"top"
8;"top"
7;"top"
6;"top"
1,66666666666667;"top"
15;"top"
13;"top"
5;"top"
4,75;"top"
14;"top"
11;"top"
9;"top"
9;"top"
2,4;"top"
3;"top"
7,5;"top"
8;"top"
5,5;"top"
10;"top"
10;"top"
15;"top"
2,2;"top"
3;"top"
3;"top"
2;"top"
4,33333333333333;"top"
4,5;"top"
4,66666666666667;"top"
1,5;"top"
5;"top"
1,4;"top"
3,75;"top"
5;"top"
12;"top"
4,66666666666667;"top"
0,571428571428571;"top"
7;"top"
8,5;"top"
0,8;"top"
13;"top"
7;"top"
13;"top"
5;"top"
11;"top"
2,66666666666667;"top"
2,33333333333333;"top"
7;"top"
4;"top"
2,33333333333333;"top"
12;"top"
2,66666666666667;"top"
9;"top"
10;"top"
3,5;"top"
4;"top"
9;"top"
2;"top"
7;"top"
2,5;"top"
8;"top"
5,33333333333333;"top"
21;"top"
13;"top"
16;"top"
0,333333333333333;"top"
1,75;"top"
2;"top"
2,5;"top"
13;"top"
7;"top"
12;"top"
4;"top"
11;"top"
3,5;"top"
12;"top"
8;"top"
3,33333333333333;"top"
9;"top"
3;"top"
4;"top"
8;"top"
4;"top"
9;"top"
6;"top"
16;"top"
